n	x	u	uCor	y	u - y
0	1	1	1	1	0
1	1.1	1.2	1.22	1.21	0.00909
2	1.2	1.42	1.46	1.44	0.0173
3	1.3	1.66	1.71	1.69	0.0248
4	1.4	1.91	1.99	1.96	0.0316
5	1.5	2.19	2.29	2.25	0.0377
6	1.6	2.49	2.6	2.56	0.0432
7	1.7	2.8	2.94	2.89	0.0481
8	1.8	3.14	3.29	3.24	0.0524
9	1.9	3.49	3.67	3.61	0.0562
10	2	3.87	4.06	4	0.0596
