n	x	u	y	u - y
0	1	1	1	0
1	1.1	1.1	1.1	0.0025
2	1.1	1.2	1.2	0.0051
3	1.2	1.3	1.3	0.0079
4	1.2	1.4	1.4	0.011
5	1.3	1.5	1.6	0.014
6	1.3	1.7	1.7	0.017
7	1.4	1.8	1.8	0.02
8	1.4	1.9	2	0.023
9	1.5	2.1	2.1	0.026
10	1.5	2.2	2.3	0.03
11	1.6	2.4	2.4	0.033
12	1.6	2.5	2.6	0.037
13	1.7	2.7	2.7	0.041
14	1.7	2.8	2.9	0.044
15	1.8	3	3.1	0.048
16	1.8	3.2	3.2	0.052
17	1.9	3.4	3.4	0.056
18	1.9	3.6	3.6	0.06
19	2	3.7	3.8	0.064
20	2	3.9	4	0.068
