n	x	u	y	u - y
0	1	1	1	0
1	1.1	1.1	1.1	0.0024
2	1.1	1.2	1.2	0.0049
3	1.2	1.3	1.3	0.0075
4	1.2	1.5	1.4	0.01
5	1.3	1.6	1.6	0.013
6	1.3	1.7	1.7	0.016
7	1.4	1.8	1.8	0.019
8	1.4	2	2	0.022
9	1.5	2.1	2.1	0.025
10	1.5	2.3	2.3	0.029
11	1.6	2.4	2.4	0.032
12	1.6	2.6	2.6	0.035
13	1.7	2.8	2.7	0.039
14	1.7	2.9	2.9	0.043
15	1.8	3.1	3.1	0.046
16	1.8	3.3	3.2	0.05
17	1.9	3.5	3.4	0.054
18	1.9	3.7	3.6	0.058
19	2	3.9	3.8	0.062
20	2	4.1	4	0.066
